date,subscribers,reviews
2019/1/17,2671.0,194.0
2019/1/18,2671.0,195.0
2019/1/19,2674.0,197.0
2019/1/20,2685.0,199.0
2019/1/21,2695.0,199.0
2019/1/22,2701.0,200.0
2019/1/23,2710.0,200.0
2019/1/24,2718.0,201.0
2019/1/25,2722.0,201.0
2019/1/26,2725.0,201.0
2019/1/27,2734.0,202.0
2019/1/28,2753.0,204.0
2019/1/29,2773.0,206.0
2019/1/30,2785.0,208.0
2019/1/31,2803.0,210.0
2019/2/1,2845.0,211.0
2019/2/2,2847.0,213.0
2019/2/3,2847.0,213.0
2019/2/4,2851.0,217.0
2019/2/5,2852.0,218.0
2019/2/6,2857.0,219.0
2019/2/7,2861.0,220.0
2019/2/8,2865.0,222.0
2019/2/9,2870.0,224.0
2019/2/10,2875.0,224.0
2019/2/11,2892.0,227.0
2019/2/12,2906.0,229.0
2019/2/13,2919.0,229.0
2019/2/14,2942.0,231.0
2019/2/15,2974.0,232.0
2019/2/16,2977.0,234.0
2019/2/17,2978.0,234.0
2019/2/18,2981.0,234.0
2019/2/19,2983.0,234.0
2019/2/20,2984.0,237.0
2019/2/21,2987.0,239.0
2019/2/22,2989.0,239.0
2019/2/23,2993.0,241.0
2019/2/24,2995.0,241.0
2019/2/25,3009.0,241.0
2019/2/26,3014.0,243.0
2019/2/27,3023.0,243.0
2019/2/28,3031.0,243.0
2019/3/1,3052.0,244.0
2019/3/2,3060.0,245.0
2019/3/3,3062.0,246.0
2019/3/4,3063.0,249.0
2019/3/5,3066.0,252.0
2019/3/6,3071.0,254.0
2019/3/7,3074.0,255.0
2019/3/8,3076.0,256.0
2019/3/9,3077.0,258.0
2019/3/10,3080.0,258.0
2019/3/11,3087.0,261.0
2019/3/12,3089.0,261.0
2019/3/13,3093.0,262.0
2019/3/14,3098.0,262.0
2019/3/15,3104.0,262.0
2019/3/16,3112.0,262.0
2019/3/17,3120.0,262.0
2019/3/18,3131.0,265.0
2019/3/19,3142.0,266.0
2019/3/20,3162.0,266.0
2019/3/21,3173.0,268.0
2019/3/22,3180.0,269.0
2019/3/23,3187.0,271.0
2019/3/24,3189.0,271.0
2019/3/25,3196.0,274.0
2019/3/26,3212.0,274.0
2019/3/27,3220.0,274.0
2019/3/28,3226.0,275.0
2019/3/29,3241.0,275.0
2019/3/30,3253.0,278.0
2019/3/31,3255.0,278.0
2019/4/1,3258.0,280.0
2019/4/2,3262.0,282.0
2019/4/3,3264.0,282.0
2019/4/4,3272.0,282.0
2019/4/5,3275.0,284.0
2019/4/6,3276.0,287.0
2019/4/7,3279.0,289.0
2019/4/8,3285.0,289.0
2019/4/9,3300.0,291.0
2019/4/10,3306.0,293.0
2019/4/11,3312.0,295.0
2019/4/12,3319.0,295.0
2019/4/13,3324.0,295.0
2019/4/14,3325.0,297.0
2019/4/15,3329.0,298.0
2019/4/16,3331.0,299.0
2019/4/17,3332.0,299.0
2019/4/18,3333.0,299.0
2019/4/19,3336.0,299.0
2019/4/20,3339.0,299.0
2019/4/21,3343.0,300.0
2019/4/22,3349.0,302.0
2019/4/23,3357.0,303.0
2019/4/24,3370.0,303.0
2019/4/25,3388.0,304.0
2019/4/26,3412.0,304.0
2019/4/27,3437.0,305.0
2019/4/28,3439.0,305.0
2019/4/29,3440.0,308.0
2019/4/30,3447.0,309.0
2019/5/1,3466.0,310.0
2019/5/2,3481.0,311.0
2019/5/3,3504.0,314.0
2019/5/4,3522.0,317.0
2019/5/5,3527.0,322.0
2019/5/6,3533.0,324.0
2019/5/7,3543.0,327.0
2019/5/8,3546.0,328.0
2019/5/9,3555.0,330.0
2019/5/10,3566.0,332.0
2019/5/11,3583.0,334.0
2019/5/12,3594.0,335.0
2019/5/13,3614.0,338.0
2019/5/14,3633.0,340.0
2019/5/15,3647.0,344.0
2019/5/16,3648.0,349.0
2019/5/17,3649.0,349.0
2019/5/18,3651.0,351.0
2019/5/19,3654.0,351.0
2019/5/20,3658.0,354.0
2019/5/21,3671.0,354.0
2019/5/22,3675.0,359.0
2019/5/23,3681.0,359.0
2019/5/24,3694.0,361.0
2019/5/25,3699.0,361.0
2019/5/26,3711.0,364.0
2019/5/27,3722.0,368.0
2019/5/28,3734.0,373.0
2019/5/29,3766.0,374.0
2019/5/30,3781.0,375.0
2019/5/31,3784.0,375.0
2019/6/1,3789.0,378.0
2019/6/2,3790.0,379.0
2019/6/3,3793.0,380.0
2019/6/4,3795.0,383.0
2019/6/5,3808.0,385.0
2019/6/6,3830.0,386.0
2019/6/7,3843.0,387.0
2019/6/8,3857.0,390.0
2019/6/9,3870.0,394.0
2019/6/10,3895.0,395.0
2019/6/11,3919.0,397.0
2019/6/12,3942.0,399.0
2019/6/13,3983.0,402.0
2019/6/14,4022.0,404.0
2019/6/15,4053.0,409.0
2019/6/16,4058.0,410.0
2019/6/17,4063.0,414.0
2019/6/18,4064.0,417.0
2019/6/19,4065.0,422.0
2019/6/20,4066.0,424.0
2019/6/21,4069.0,425.0
2019/6/22,4070.0,426.0
2019/6/23,4073.0,427.0
2019/6/24,4084.0,427.0
2019/6/25,4108.0,427.0
2019/6/26,4122.0,433.0
2019/6/27,4132.0,436.0
2019/6/28,4150.0,440.0
2019/6/29,4162.0,440.0
2019/6/30,4164.0,446.0
2019/7/1,4167.0,448.0
2019/7/2,4174.0,450.0
2019/7/3,4179.0,455.0
2019/7/4,4187.0,456.0
2019/7/5,4200.0,456.0
2019/7/6,4210.0,458.0
2019/7/7,4211.0,458.0
2019/7/8,4214.0,464.0
2019/7/9,4219.0,464.0
2019/7/10,4223.0,468.0
2019/7/11,4228.0,469.0
2019/7/12,4236.0,469.0
2019/7/13,4239.0,471.0
2019/7/14,4243.0,471.0
2019/7/15,4250.0,473.0
2019/7/16,4265.0,476.0
2019/7/17,4288.0,476.0
2019/7/18,4313.0,483.0
2019/7/19,4329.0,483.0
2019/7/20,4329.0,486.0
2019/7/21,4329.0,487.0
2019/7/22,4333.0,492.0
2019/7/23,4335.0,493.0
2019/7/24,4353.0,494.0
2019/7/25,4370.0,496.0
2019/7/26,4397.0,500.0
2019/7/27,4419.0,504.0
2019/7/28,4422.0,507.0
2019/7/29,4423.0,513.0
2019/7/30,4425.0,516.0
2019/7/31,4427.0,518.0
2019/8/1,4432.0,519.0
2019/8/2,4433.0,520.0
2019/8/3,4435.0,522.0
2019/8/4,4437.0,522.0
2019/8/5,4440.0,526.0
2019/8/6,4444.0,528.0
2019/8/7,4452.0,528.0
2019/8/8,4466.0,529.0
2019/8/9,4493.0,529.0
2019/8/10,4521.0,530.0
2019/8/11,4528.0,531.0
2019/8/12,4529.0,533.0
2019/8/13,4532.0,534.0
2019/8/14,4534.0,537.0
2019/8/15,4535.0,537.0
2019/8/16,4539.0,539.0
2019/8/17,4539.0,540.0
2019/8/18,4541.0,541.0
2019/8/19,4545.0,544.0
2019/8/20,4545.0,545.0
2019/8/21,4561.0,548.0
2019/8/22,4590.0,549.0
2019/8/23,4624.0,549.0
2019/8/24,4641.0,552.0
2019/8/25,4665.0,554.0
2019/8/26,4702.0,557.0
2019/8/27,4730.0,561.0
2019/8/28,4761.0,564.0
2019/8/29,4793.0,566.0
2019/8/30,4846.0,566.0
2019/8/31,4878.0,571.0
2019/9/1,4884.0,572.0
2019/9/2,4888.0,573.0
2019/9/3,4887.0,574.0
2019/9/4,4888.0,575.0
2019/9/5,4890.0,577.0
2019/9/6,4892.0,577.0
2019/9/7,4894.0,578.0
2019/9/8,4896.0,578.0
2019/9/9,4907.0,579.0
2019/9/10,4918.0,581.0
2019/9/11,4935.0,583.0
2019/9/12,4949.0,583.0
2019/9/13,4965.0,584.0
2019/9/14,4966.0,587.0
2019/9/15,4966.0,587.0
2019/9/16,4970.0,590.0
2019/9/17,4972.0,590.0
2019/9/18,4974.0,592.0
2019/9/19,4996.0,596.0
2019/9/20,4998.0,601.0
2019/9/21,5001.0,601.0
2019/9/22,5004.0,603.0
2019/9/23,5005.0,605.0
2019/9/24,5012.0,605.0
2019/9/25,5023.0,609.0
2019/9/26,5033.0,609.0
2019/9/27,5068.0,612.0
2019/9/28,5084.0,613.0
2019/9/29,5088.0,614.0
2019/9/30,5097.0,615.0
2019/10/1,5113.0,617.0
2019/10/2,5117.0,618.0
2019/10/3,5120.0,620.0
2019/10/4,5128.0,622.0
2019/10/5,5133.0,624.0
2019/10/6,5137.0,628.0
2019/10/7,5144.0,630.0
2019/10/8,5160.0,633.0
2019/10/9,5166.0,637.0
2019/10/10,5167.0,639.0
2019/10/11,5168.0,641.0
2019/10/12,5169.0,644.0
2019/10/13,5170.0,646.0
2019/10/14,5170.0,649.0
2019/10/15,5179.0,651.0
2019/10/16,5185.0,651.0
2019/10/17,5187.0,652.0
2019/10/18,5189.0,653.0
2019/10/19,5191.0,654.0
2019/10/20,5193.0,655.0
2019/10/21,5194.0,656.0
2019/10/22,5197.0,658.0
2019/10/23,5210.0,659.0
2019/10/24,5223.0,663.0
2019/10/25,5232.0,663.0
2019/10/26,5233.0,664.0
2019/10/27,5234.0,665.0
2019/10/28,5236.0,666.0
2019/10/29,5240.0,670.0
2019/10/30,5242.0,671.0
2019/10/31,5243.0,671.0
2019/11/1,5244.0,674.0
2019/11/2,5246.0,674.0
2019/11/3,5246.0,676.0
2019/11/4,5247.0,676.0
2019/11/6,5269.0,679.0
2019/11/7,5284.0,681.0
2019/11/8,5298.0,683.0
2019/11/9,5307.0,684.0
2019/11/10,5313.0,687.0
2019/11/11,5314.0,687.0
2019/11/12,5314.0,688.0
2019/11/13,5316.0,689.0
2019/11/14,5326.0,691.0
2019/11/15,5337.0,691.0
2019/11/16,5338.0,692.0
2019/11/17,5342.0,692.0
2019/11/18,5343.0,695.0
2019/11/19,5347.0,697.0
2019/11/20,5348.0,697.0
2019/11/21,5351.0,700.0
2019/11/22,5356.0,700.0
2019/11/23,5383.0,700.0
2019/11/24,5409.0,704.0
2019/11/25,5435.0,709.0
2019/11/26,5450.0,714.0
2019/11/27,5479.0,714.0
2019/11/28,5503.0,715.0
2019/11/29,5554.0,716.0
2019/11/30,5643.0,718.0
2019/12/1,5652.0,720.0
2019/12/2,5654.0,723.0
2019/12/3,5678.0,723.0
2019/12/4,5706.0,723.0
2019/12/5,5747.0,726.0
2019/12/6,5802.0,728.0
2019/12/7,5807.0,728.0
2019/12/8,5811.0,732.0
2019/12/9,5811.0,732.0
2019/12/10,5813.0,735.0
2019/12/11,5819.0,735.0
2019/12/12,5825.0,737.0
2019/12/13,5830.0,739.0
2019/12/14,5833.0,739.0
2019/12/15,5837.0,740.0
2019/12/16,5839.0,742.0
2019/12/17,5840.0,744.0
2019/12/18,5846.0,745.0
2019/12/19,5847.0,745.0
2019/12/20,5849.0,746.0
2019/12/21,5850.0,746.0
2019/12/22,5852.0,746.0
2019/12/23,5870.0,747.0
2019/12/24,5878.0,748.0
2019/12/25,5888.0,748.0
2019/12/26,5906.0,749.0
2019/12/27,5927.0,749.0
2019/12/28,5930.0,749.0
2019/12/29,5933.0,750.0
2019/12/30,5936.0,752.0
2019/12/31,5937.0,753.0
2020/1/1,5964.0,760.0
2020/1/2,5989.0,764.0
2020/1/3,5999.0,768.0
2020/1/4,6011.0,768.0
2020/1/5,6023.0,771.0
2020/1/6,6042.0,772.0
2020/1/7,6060.0,776.0
2020/1/8,6089.0,778.0
2020/1/9,6121.0,780.0
2020/1/10,6174.0,781.0
2020/1/11,6178.0,782.0
2020/1/12,6182.0,784.0
2020/1/13,6188.0,784.0
2020/1/14,6191.0,788.0
2020/1/15,6193.0,792.0
2020/1/15,6192.0,791.0
2020/2/7,6353.0,832.0
,,
,,
2020/2/7,6353.0,832.0
